STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,TRANSFORMATION,,ADJUSTMENT,,SECTOR,,FREQ,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,BASE_PER,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2015-02,,533000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2015-03,,542000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1991-04,,306260.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1991-05,,309711.1,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1991-06,,316612.7,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2014-02,,469000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2014-03,,473000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2014-04,,479000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1991-12,,332141.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-01,,332141.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-02,,318338.1,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-03,,318338.1,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-04,,310573.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-05,,306260.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-06,,302809.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-07,,297633.2,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-08,,298495.9,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-09,,300221.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1992-10,,307122.9,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2003-06,,262000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1991-02,,297633.2,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1991-03,,301946.7,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1993-08,,238106.6,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1993-09,,228616.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1993-10,,226028.7,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1993-11,,229479.5,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1993-12,,227754.1,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-01,,227754.1,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-02,,232067.6,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-03,,232930.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-04,,232930.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-05,,232930.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-06,,235518.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-07,,243282.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-08,,251047.1,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-09,,262262.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-10,,277791,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-11,,276928.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1994-12,,276065.6,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1995-01,,278653.7,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1995-02,,279516.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1995-03,,282967.2,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1995-04,,282104.5,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1995-05,,281241.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1995-06,,276928.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1995-07,,277791,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1995-08,,275202.9,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1995-09,,272614.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1991-07,,322651.6,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2014-06,,486000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1991-10,,322651.6,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1991-11,,318338.1,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-02,,288143.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-03,,288143.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-04,,277791,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-05,,282104.5,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-06,,286418,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-07,,287280.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-08,,294182.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-09,,295907.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-10,,299358.6,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-11,,309711.1,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1997-12,,323514.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-01,,326102.5,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-02,,335592.2,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-03,,346807.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-04,,358022.5,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-05,,377864.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-06,,377864.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-07,,378727.5,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-08,,384766.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-09,,379590.2,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-10,,376139.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-11,,371825.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1998-12,,366649.6,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-01,,380452.9,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-02,,382178.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-03,,386491.8,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-04,,387354.5,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-05,,389079.9,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-06,,387354.5,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-07,,393393.4,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-08,,396844.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-09,,403745.9,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-10,,411510.3,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,1999-12,,420000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-01,,426000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-02,,432000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-03,,433000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-04,,442000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-05,,454000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-06,,455000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-07,,459000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-08,,457000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-09,,459000,,A,,,,0,,0,
DATAFLOW,OECD.SDD.TPS:DSD_OLAB@DF_OIALAB_INDIC(1.1),,I,DEU,,VAC_U,,PS,,_Z,,Y,,S1,,M,,2000-10,,463000,,A,,,,0,,0,
