DATE,WM2NS
2019-01-07,14533.9
2019-01-14,14485.4
2019-01-21,14393.7
2019-01-28,14324.5
2019-02-04,14389.3
2019-02-11,14393.8
2019-02-18,14393.7
2019-02-25,14373.7
2019-03-04,14519.1
2019-03-11,14561.9
2019-03-18,14571.7
2019-03-25,14532.7
2019-04-01,14652.3
2019-04-08,14700.3
2019-04-15,14722.7
2019-04-22,14590.0
2019-04-29,14475.5
2019-05-06,14553.0
2019-05-13,14551.0
2019-05-20,14575.9
2019-05-27,14565.3
2019-06-03,14697.1
2019-06-10,14738.6
2019-06-17,14779.2
2019-06-24,14659.0
2019-07-01,14778.0
2019-07-08,14854.4
2019-07-15,14810.0
2019-07-22,14777.7
2019-07-29,14789.1
2019-08-05,14923.6
2019-08-12,14906.6
2019-08-19,14893.2
2019-08-26,14831.4
2019-09-02,14946.3
2019-09-09,14997.4
2019-09-16,15002.7
2019-09-23,14933.2
2019-09-30,15012.9
2019-10-07,15113.9
2019-10-14,15125.5
2019-10-21,15116.7
2019-10-28,15077.4
2019-11-04,15219.6
2019-11-11,15222.3
2019-11-18,15281.7
2019-11-25,15231.3
2019-12-02,15326.6
2019-12-09,15336.8
2019-12-16,15427.8
2019-12-23,15440.9
2019-12-30,15452.4
2020-01-06,15484.9
2020-01-13,15452.8
2020-01-20,15406.7
2020-01-27,15294.0
2020-02-03,15358.3
2020-02-10,15361.7
2020-02-17,15392.9
2020-02-24,15328.1
2020-03-02,15488.6
2020-03-09,15624.4
2020-03-16,15818.1
2020-03-23,16193.0
2020-03-30,16614.3
2020-04-06,16773.1
2020-04-13,16919.6
2020-04-20,17180.3
2020-04-27,17318.7
2020-05-04,17536.3
2020-05-11,17673.8
2020-05-18,17805.4
2020-05-25,17780.1
2020-06-01,17910.9
2020-06-08,18022.7
2020-06-15,18110.7
2020-06-22,18101.2
2020-06-29,18155.5
2020-07-06,18338.6
2020-07-13,18341.8
2020-07-20,18240.3
2020-07-27,18108.3
2020-08-03,18220.4
2020-08-10,18286.9
2020-08-17,18356.5
2020-08-24,18257.4
2020-08-31,18376.9
2020-09-07,18512.7
2020-09-14,18596.7
2020-09-21,18549.3
2020-09-28,18486.9
2020-10-05,18630.6
2020-10-12,18643.2
2020-10-19,18698.7
2020-10-26,18636.7
2020-11-02,18824.5
2020-11-09,18904.3
2020-11-16,18987.1
2020-11-23,18962.1
2020-11-30,19042.1
2020-12-07,19147.9
2020-12-14,19197.3
2020-12-21,19250.7
2020-12-28,19282.1
2021-01-04,19353.0
2021-01-11,19413.9
2021-01-18,19384.8
2021-01-25,19266.0
2021-02-01,19370.7
2021-02-08,19404.7
2021-02-15,19512.3
2021-02-22,19522.7
2021-03-01,19609.7
2021-03-08,19702.0
2021-03-15,19839.3
2021-03-22,20016.5
2021-03-29,20090.7
2021-04-05,20295.3
2021-04-12,20287.8
2021-04-19,20280.6
2021-04-26,20126.8
2021-05-03,20250.1
2021-05-10,20329.5
2021-05-17,20379.1
2021-05-24,20209.5
2021-05-31,20256.8
2021-06-07,20400.1
2021-06-14,20485.7
2021-06-21,20388.6
2021-06-28,20327.7
2021-07-05,20547.0
2021-07-12,20540.5
2021-07-19,20570.0
2021-07-26,20521.9
2021-08-02,20648.6
2021-08-09,20706.3
2021-08-16,20776.9
2021-08-23,20751.6
2021-08-30,20783.5
2021-09-06,20925.5
2021-09-13,20970.2
2021-09-20,20925.4
2021-09-27,20835.9
2021-10-04,21041.4
2021-10-11,21066.3
2021-10-18,21142.1
2021-10-25,21030.1
2021-11-01,21173.5
2021-11-08,21255.0
2021-11-15,21320.3
2021-11-22,21349.5
2021-11-29,21377.2
2021-12-06,21519.7
2021-12-13,21574.7
2021-12-20,21700.0
2021-12-27,21744.4
2022-01-03,21720.5
2022-01-10,21737.3
2022-01-17,21710.5
2022-01-24,21526.1
2022-01-31,21514.9
2022-02-07,21552.3
2022-02-14,21564.9
2022-02-21,21568.5
2022-02-28,21653.1
2022-03-07,21806.6
2022-03-14,21857.5
2022-03-21,21860.2
2022-03-28,21846.3
2022-04-04,22027.0
2022-04-11,21975.8
2022-04-18,22048.8
2022-04-25,21601.4
2022-05-02,21607.8
2022-05-09,21545.1
2022-05-16,21576.8
2022-05-23,21532.3
2022-05-30,21517.9
2022-06-06,21617.3
2022-06-13,21591.5
2022-06-20,21547.6
2022-06-27,21521.6
2022-07-04,21660.4
2022-07-11,21583.6
2022-07-18,21561.0
2022-07-25,21513.3
2022-08-01,21583.0
2022-08-08,21575.0
2022-08-15,21583.4
2022-08-22,21528.2
2022-08-29,21461.3
2022-09-05,21529.8
2022-09-12,21574.7
2022-09-19,21518.0
2022-09-26,21395.1
2022-10-03,21466.9
2022-10-10,21436.5
2022-10-17,21468.5
2022-10-24,21327.1
2022-10-31,21379.6
2022-11-07,21415.5
2022-11-14,21414.8
2022-11-21,21418.7
2022-11-28,21378.3
2022-12-05,21445.7
2022-12-12,21443.5
2022-12-19,21455.6
2022-12-26,21429.2
2023-01-02,21400.0
2023-01-09,21451.7
2023-01-16,21361.7
2023-01-23,21215.4
2023-01-30,21123.5
2023-02-06,21194.5
2023-02-13,21127.7
2023-02-20,21119.1
2023-02-27,21115.1
2023-03-06,21162.5
2023-03-13,21158.1
2023-03-20,21021.4
2023-03-27,20894.2
2023-04-03,20950.9
2023-04-10,21047.6
2023-04-17,20968.6
2023-04-24,20687.1
2023-05-01,20648.7
2023-05-08,20712.2
2023-05-15,20706.9
2023-05-22,20687.5
2023-05-29,20745.5
2023-06-05,20848.0
2023-06-12,20773.2
2023-06-19,20741.1
2023-06-26,20668.4
2023-07-03,20765.9
2023-07-10,20778.0
2023-07-17,20767.0
2023-07-24,20654.5
2023-07-31,20695.8
2023-08-07,20748.5
2023-08-14,20726.2
2023-08-21,20664.9
2023-08-28,20636.4
2023-09-04,20719.1
2023-09-11,20714.3
2023-09-18,20683.1
2023-09-25,20577.3
2023-10-02,20672.0
2023-10-09,20667.4
2023-10-16,20718.7
2023-10-23,20555.9
2023-10-30,20551.5
2023-11-06,20666.1
2023-11-13,20665.4
2023-11-20,20716.5
2023-11-27,20706.5
2023-12-04,20804.8
2023-12-11,20800.7
2023-12-18,20872.9
2023-12-25,20898.9
2024-01-01,20881.0
